GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,2186.85,5094.41,6379.89,608.4,351.44,-304.29,-4557.48,-37431.36,1815.32,18251.04,-7859.74,229.39,-7605.77,-7630.35,-15236.12
2,2189.42,5162.59,6339.25,621.51,315.2,-294.74,-4575.85,-37312.05,1860.73,18222.89,-7908.8,229.5,-7471.05,-7679.31,-15150.36
3,2156.71,5064.41,6356.42,608.93,329.08,-318.12,-4566.34,-37343.32,1850.51,18391.55,-7998.56,229.44,-7470.17,-7769.12,-15239.29
4,2163.64,5146.81,6345.55,604.91,361.52,-342.29,-4616.74,-37230.72,1829.66,18294.52,-8041.6,231.38,-7443.14,-7810.22,-15253.36
5,2175.2,5175.59,6290.78,615.5,340.29,-299.27,-4521.23,-37256.4,1830.23,18300.48,-8059.14,231.22,-7348.83,-7827.91,-15176.74
6,2198.4,5062.96,6350.21,601.39,352.26,-309.2,-4629.26,-36844.97,1828.47,18272.19,-8324.46,234.67,-7117.54,-8089.79,-15207.33
7,2169.22,5083.35,6353.4,612.26,352.57,-327.03,-4610.73,-37182.83,1885.74,18323.9,-8124.51,235.81,-7340.15,-7888.69,-15228.84
8,2226.94,5093.69,6336.59,637.1,345.13,-330.01,-4587.61,-36886.42,1845.16,18247.97,-8281.92,233.15,-7071.46,-8048.77,-15120.24
9,2223.86,5242.19,6259.13,620.33,339.84,-329.47,-4568.3,-36668.07,1845.64,18086.7,-8418.27,231.94,-6948.14,-8186.33,-15134.47
10,2277.67,5198.68,6362.0,629.65,352.6,-326.1,-4547.99,-36621.35,1797.39,18036.5,-8430.39,238.43,-6840.94,-8191.96,-15032.9
11,2199.26,5113.79,6311.98,611.8,351.07,-356.3,-4488.59,-37039.41,1834.64,18365.83,-8296.22,237.69,-7095.94,-8058.53,-15154.47
12,2133.18,5157.35,6337.56,612.14,345.95,-317.62,-4494.24,-36892.78,1833.18,18426.05,-8443.6,238.26,-6859.23,-8205.35,-15064.58
13,2207.56,5176.62,6310.53,628.78,364.76,-305.91,-4544.85,-36900.02,1837.09,18199.3,-8295.85,235.35,-7026.15,-8060.5,-15086.65
14,2221.04,5043.05,6305.43,621.31,331.1,-306.59,-4514.53,-37218.79,1855.27,18204.59,-8051.29,237.62,-7458.1,-7813.68,-15271.78
15,2239.65,5172.11,6321.68,602.2,345.62,-315.33,-4440.81,-37300.0,1856.42,18293.8,-8013.46,239.26,-7224.65,-7774.19,-14998.84
16,2140.93,5125.68,6309.1,607.85,333.39,-317.35,-4468.56,-37220.44,1840.9,18291.45,-8046.24,240.86,-7357.05,-7805.38,-15162.43
17,2174.7,5119.24,6320.29,618.64,315.66,-291.45,-4459.8,-37286.99,1846.58,18264.35,-8038.44,240.78,-7378.77,-7797.66,-15176.43
18,2222.46,5166.54,6319.57,633.6,330.24,-307.89,-4467.17,-37240.42,1833.86,18276.13,-8074.99,243.01,-7233.08,-7831.99,-15065.07
19,2196.91,5093.0,6228.37,610.09,336.1,-299.38,-4507.47,-37260.93,1850.5,18298.66,-8011.5,238.17,-7454.16,-7773.33,-15227.49
20,2206.51,5068.28,6312.56,613.12,339.51,-302.29,-4480.83,-37298.87,1863.62,18227.2,-8036.11,238.38,-7451.2,-7797.73,-15248.93
21,2177.71,5266.64,6248.08,624.87,352.99,-317.22,-4494.26,-37153.98,1828.42,18169.09,-8148.51,240.38,-7297.65,-7908.13,-15205.78
22,2157.52,5241.96,6285.08,652.93,329.01,-323.17,-4497.9,-36813.18,1828.53,18141.73,-8386.94,241.64,-6997.49,-8145.3,-15142.79
23,2221.33,5210.02,6267.43,627.01,334.04,-287.25,-4471.36,-37181.57,1819.24,18177.51,-8100.7,241.05,-7283.6,-7859.65,-15143.25
24,2143.34,5107.43,6296.58,623.25,331.69,-295.34,-4525.27,-37176.73,1839.65,18416.97,-8195.15,240.0,-7238.43,-7955.15,-15193.58
25,2195.93,5098.75,6285.05,622.65,314.27,-329.07,-4578.36,-36917.94,1841.07,18351.13,-8371.04,236.31,-7116.53,-8134.73,-15251.27
26,2161.83,5094.05,6300.67,630.27,338.7,-322.91,-4517.58,-37108.56,1829.44,18239.89,-8205.59,239.18,-7354.2,-7966.42,-15320.61
27,2224.91,5059.25,6241.06,616.48,348.52,-313.91,-4518.83,-37122.57,1818.99,18263.53,-8141.49,241.3,-7382.57,-7900.19,-15282.76
28,2161.91,5059.43,6301.89,617.39,352.6,-299.3,-4509.16,-36950.87,1852.01,18231.95,-8240.25,240.19,-7182.15,-8000.06,-15182.21
29,2172.91,5115.69,6280.01,619.32,346.93,-321.48,-4481.21,-36951.36,1848.41,18203.33,-8282.26,247.3,-7167.45,-8034.96,-15202.41
30,2200.26,5105.78,6295.01,603.31,335.78,-325.27,-4583.67,-37057.43,1824.77,18257.02,-8204.46,237.21,-7344.43,-7967.25,-15311.68
31,2172.8,5051.93,6240.27,624.18,336.66,-298.55,-4457.64,-37095.39,1838.04,18284.36,-8216.74,243.9,-7303.34,-7972.84,-15276.18
32,2162.86,5220.28,6306.25,617.42,362.04,-329.58,-4498.74,-37056.04,1821.14,18172.25,-8179.71,235.85,-7222.12,-7943.86,-15165.98
33,2168.22,5220.84,6244.6,618.14,334.64,-290.93,-4473.03,-37043.34,1868.26,18214.96,-8177.74,240.84,-7137.65,-7936.9,-15074.55
